target_fraction,synthetic_incremental_retention
0.05,0.7222222222222222
0.1,0.5532137518684603
0.15,0.4299422174413845
0.2,0.33757992429912537
0.25,0.29167050443646186
0.3,0.25640243325575673
0.35,0.25703508385163787
0.39999999999999997,0.2405513088531776
0.44999999999999996,0.21980124735578238
0.49999999999999994,0.19419094636032636
0.5499999999999999,0.17639871645455096
0.6,0.16174709192001663
0.65,0.14303204497894761
0.7,0.12456722145747301
0.75,0.1031062101513398
0.7999999999999999,0.09699392163536202
0.85,0.0873358615143891
0.9,0.07501466529659329
0.95,0.06418148654810762
1.0,0.04353744851488184
