CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TenureDays,LastPurchaseDate,Country,churn_90d,p_alive,bgnbd_churn
12346,326,1,77183.6,77183.6,1,2011-01-18 10:01:00,United Kingdom,1,1.0,0
12347,2,7,4310.0,615.7142857142857,366,2011-12-07 15:52:00,Iceland,0,1.0,0
12348,75,4,1797.24,449.31,283,2011-09-25 13:13:00,Finland,0,1.0,0
12349,19,1,1757.55,1757.55,1,2011-11-21 09:51:00,Italy,0,1.0,0
12350,310,1,334.4,334.4,1,2011-02-02 16:01:00,Norway,1,1.0,0
12352,36,8,2506.04,313.255,261,2011-11-03 14:37:00,Norway,0,1.0,0
12353,204,1,89.0,89.0,1,2011-05-19 17:47:00,Bahrain,1,1.0,0
12354,232,1,1079.4,1079.4,1,2011-04-21 13:11:00,Spain,1,1.0,0
12355,214,1,459.4,459.4,1,2011-05-09 13:49:00,Bahrain,1,1.0,0
12356,23,3,2811.43,937.1433333333333,303,2011-11-17 08:40:00,Portugal,0,1.0,0
12357,33,1,6207.67,6207.67,1,2011-11-06 16:07:00,Switzerland,0,1.0,0
12358,2,2,1168.06,584.03,150,2011-12-08 10:26:00,Austria,0,0.999999999760512,0
12359,58,4,6372.58,1593.145,275,2011-10-13 12:47:00,Cyprus,0,1.0,0
12360,52,3,2662.06,887.3533333333334,149,2011-10-18 15:22:00,Austria,0,1.0,0
12361,287,1,189.9,189.9,1,2011-02-25 13:51:00,Belgium,1,1.0,0
12362,3,10,5226.23,522.6229999999999,293,2011-12-06 15:40:00,Belgium,0,1.0,0
12363,110,2,552.0,276.0,133,2011-08-22 10:18:00,Unspecified,1,0.9999999995005775,0
12364,8,4,1313.1,328.275,105,2011-12-02 10:22:00,Belgium,0,1.0,0
12365,291,2,641.38,320.69,1,2011-02-21 14:04:00,Cyprus,1,1.0,0
12367,4,1,168.9,168.9,1,2011-12-05 16:48:00,Denmark,0,1.0,0
12370,51,4,3545.6899999999996,886.4224999999999,310,2011-10-19 14:51:00,Cyprus,0,1.0,0
12371,45,2,1887.96,943.98,15,2011-10-26 10:16:00,Switzerland,0,0.9999999994534023,0
12372,72,3,1298.04,432.68,225,2011-09-29 12:12:00,Denmark,0,1.0,0
12373,311,1,364.6,364.6,1,2011-02-01 13:10:00,Austria,1,1.0,0
12374,25,1,742.9300000000001,742.9300000000001,1,2011-11-14 15:37:00,Austria,0,1.0,0
12375,11,2,457.5,228.75,88,2011-11-29 10:36:00,Finland,0,0.9999999997336022,0
12377,315,2,1628.12,814.06,40,2011-01-28 15:45:00,Switzerland,1,0.9999999973537506,0
12378,130,1,4008.62,4008.62,1,2011-08-02 10:34:00,Switzerland,1,1.0,0
12379,82,2,852.24,426.12,89,2011-09-19 10:09:00,Belgium,0,0.9999999995059727,0
12380,22,4,2724.8100000000004,681.2025000000001,165,2011-11-18 11:27:00,Belgium,0,1.0,0
12381,5,5,1845.31,369.062,116,2011-12-05 12:44:00,Norway,0,1.0,0
12383,185,5,1850.56,370.11199999999997,168,2011-06-08 08:02:00,Belgium,1,1.0,0
12384,29,2,585.27,292.635,93,2011-11-11 08:39:00,Switzerland,0,0.9999999996835072,0
